raw_id,source_type,source_platform,source_url,collected_date,collector,raw_display_name,raw_company_name,raw_contact_hint,raw_text,public_cases_text,raw_notes,confidence,processed_status,suggested_partner_id,suggested_partner_type,suggested_platforms,suggested_categories,risk_clues,next_action,priority,processed_date
RAW001,官网,官网,https://wuyou.com/,2026-06-05,,无忧传媒,无忧传媒集团有限公司,官网,"无忧传媒于2016年在北京成立，公司直播总部位于杭州，2025年北京总部迁入城市副中心——通州区，现已形成“北京＋杭州”双总部格局。公司现有员工规模超3000人，在成都、三亚、上海、武汉、广州等10余地区设有分支机构，目前已经成为国内互联网+经纪行业的领军企业，是中国演出行业协会常务理事单位，中国网络视听节目服务协会MCN专委会副理事长单位，中国广告协会理事单位。近年来，无忧始终稳居抖音MCN机构综合排名榜首，同时是微信视频号第一大直播机构、小红书S级影响力机构。

公司围绕“人的IP”“内容IP”“商品IP”三大业务基石，逐步成长为集娱乐直播、短视频和直播电商等跨平台、多业务于一体的综合性MCN机构集团，旗下全约优质艺人超5000人，全国签约艺人超10万人，全平台总粉丝量超20亿。成功孵化了广东夫妇、多余和毛毛姐等头部达人，签约吴克群、明道等多位演艺明星，打造出宇宙101、JOY等优质团播厂牌，建立起多领域垂类达人矩阵，累计合作品牌超6000家。",,,高,未处理,,直播代运营,抖音,所有品类,案例未完全核验,暂不处理,高,
RAW002,官网,官网,http://www.changwan.cn/,2026-06-05,,畅玩,福建畅玩网络有限公司,官网,畅玩集团成立于2014年，通过持续深耕文化创意产业，集团打造了完整的线上内容生态服务体系，业务涵盖自媒体营销、网站媒体营销、MCN运营及KOL孵化，集团现已发展成为行业内领先的线上内容营销服务商。,主页展示多篇种草案例，但缺少品牌方确认。,,低,未处理,,直播代运营,抖音,所有品类,信息待补充;案例未完全核验,暂不处理,高,
RAW003,官网,,,,,渝欣,重庆渝欣文化传媒有限公司,,,,,,未处理,,,,,,,,
RAW004,,,,,,OST传媒,成都星娱时代文化传播有限公司,,,,,,未处理,,,,,,,,
RAW005,,,,,,乾派文化,深圳市乾派文化传播有限公司,,,,,,未处理,,,,,,,,
RAW006,,,,,,古麦嘉禾,青岛古麦嘉禾科技有限公司,,,,,,未处理,,,,,,,,
RAW007,,,,,,御今文化,御今文化发展（上海）有限公司,,,,,,未处理,,,,,,,,
RAW008,,,,,,华星璀璨,成都华星璀璨娱乐有限公司,,,,,,未处理,,,,,,,,
RAW009,,,,,,遥望科技,杭州遥望网络科技有限公司 / 佛山遥望科技股份有限公司,,,,,,未处理,,,,,,,,
RAW010,,,,,,南京圆宵文化传媒有限公司,南京圆宵文化传媒有限公司,,,,,,未处理,,,,,,,,
RAW011,,,,,,三只羊,三只羊（合肥）控股集团有限公司 / 合肥三只羊网络科技有限公司,,,,,,未处理,,,,,,,,
RAW012,,,,,,轩偶文化,天津新偶文化传媒有限公司,,,,,,未处理,,,,,,,,
RAW013,,,,,,奶酪星球,奶酪星球文化发展（杭州）有限公司,,,,,,未处理,,,,,,,,
RAW014,,,,,,麦芽传媒,重庆麦芽传媒有限公司,,,,,,未处理,,,,,,,,
RAW015,,,,,,联萌传媒,辽宁联萌文化传媒有限公司,,,,,,未处理,,,,,,,,
RAW016,,,,,,有好戏,广州有好戏网络科技有限公司,,,,,,未处理,,,,,,,,
RAW017,,,,,,奇迹山,厦门奇迹山科技有限公司,,,,,,未处理,,,,,,,,
RAW018,,,,,,倩兮文化,湖北倩兮文化传媒有限公司,,,,,,未处理,,,,,,,,
RAW019,,,,,,碎星互娱,杭州碎星文化传媒有限公司,,,,,,未处理,,,,,,,,
RAW020,,,,,,广州挚文化传媒有限公司,广州擎文化传媒有限公司,,,,,,未处理,,,,,,,,
RAW021,,,,,,樱桃派对,广州樱桃派对文化发展有限公司,,,,,,未处理,,,,,,,,
RAW022,,,,,,爆爆娱乐,河南爆爆文化传媒有限公司,,,,,,未处理,,,,,,,,
RAW023,,,,,,永恒文希传媒,浙江永恒文希传媒有限公司,,,,,,未处理,,,,,,,,
RAW024,,,,,,愿景娱乐,愿景翰唐（杭州）传媒科技有限公司,,,,,,未处理,,,,,,,,
RAW025,,,,,,大禹,苏州大禹网络科技有限公司 / 苏州大禹数字文化科技集团有限公司,,,,,,未处理,,,,,,,,
RAW026,,,,,,小象大鹅EGM,深圳市小象大鹅文化有限公司,,,,,,未处理,,,,,,,,
RAW027,,,,,,恩毕威,待核验,,,,,,未处理,,,,,,,,
RAW028,,,,,,蜂群,深圳市蜂群文化传播有限公司,,,,,,未处理,,,,,,,,
RAW029,,,,,,二咖传媒,北京二咖传媒文化有限责任公司,,,,,,未处理,,,,,,,,
RAW030,,,,,,广州欢聚传媒,广州欢聚传媒有限公司,,,,,,未处理,,,,,,,,
RAW031,,,,,,ShowWorld,看看世界（北京）文化科技有限公司,,,,,,未处理,,,,,,,,
RAW032,,,,,,蜂群文化,深圳市蜂群文化传播有限公司,,,,,,未处理,,,,,,,,
RAW033,,,,,,超会文化,深圳市超会文化有限公司,,,,,,未处理,,,,,,,,
RAW034,,,,,,星榜互娱,北京明亮的星文化传媒有限公司,,,,,,未处理,,,,,,,,
RAW035,,,,,,果核宇宙,西安果核宇宙文化传媒有限公司,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
